Sex,Age,Category,Survived
M,62,P,0
F,22,C,0
F,21,C,0
M,53,C,0
F,55,P,0
F,71,P,0
M,60,P,0
F,18,P,0
M,30,C,0
F,63,P,0
M,67,P,0
F,61,P,0
M,40,C,0
F,68,P,0
F,36,C,0
F,23,C,0
M,31,P,0
M,74,P,0
F,68,P,0
M,56,P,0
F,63,P,0
M,32,C,1
M,62,P,0
F,28,P,0
F,72,P,0
F,75,P,0
F,33,P,0
M,42,P,0
M,74,P,0
M,33,C,0
F,41,P,0
M,50,P,1
F,65,P,0
F,39,P,0
F,69,P,0
F,65,P,0
M,70,P,0
M,36,P,1
M,40,C,0
F,38,C,0
M,53,P,0
F,52,C,0
M,69,P,0
F,63,P,0
M,21,P,1
F,43,C,0
M,49,P,0
F,27,C,0
M,21,P,1
F,31,P,1
F,49,P,0
M,73,P,0
F,68,P,0
F,49,P,0
F,67,P,0
M,68,P,0
F,45,C,0
M,32,P,0
F,31,P,0
M,64,P,0
M,20,P,0
F,46,P,0
F,29,C,0
M,35,P,1
F,41,P,0
F,26,C,0
M,29,P,0
M,21,P,0
M,31,P,0
M,42,P,0
M,45,C,0
M,51,P,0
F,49,P,0
F,67,P,0
M,74,P,0
F,31,P,1
M,41,P,1
F,53,P,0
F,66,P,0
M,35,P,0
F,44,P,0
F,28,P,0
M,80,P,0
F,36,P,0
M,5,P,0
F,55,P,0
F,45,P,0
F,33,C,1
M,50,P,0
M,42,C,0
M,54,P,1
F,41,P,0
M,65,P,0
M,28,P,1
F,74,P,0
F,32,P,0
M,23,P,0
F,57,P,0
M,64,P,0
F,39,P,0
F,37,P,0
F,17,P,0
M,69,P,0
F,48,C,0
F,30,P,0
M,60,P,0
M,37,P,0
F,69,P,0
M,75,P,0
F,54,P,0
F,21,P,0
M,50,P,0
F,27,P,0
F,29,P,0
F,49,P,0
F,71,P,0
F,49,P,0
M,53,P,0
M,35,C,0
F,50,P,0
M,25,P,0
M,32,P,0
M,21,P,1
M,42,P,0
F,59,P,0
F,60,P,0
F,56,P,0
M,50,P,0
M,25,P,0
F,59,P,1
M,63,P,0
F,49,P,0
M,41,P,1
M,45,P,1
M,69,P,0
M,50,P,1
F,50,P,0
M,56,P,0
F,65,P,0
M,69,P,0
M,67,P,0
M,64,P,0
F,45,P,0
F,49,P,0
F,45,P,0
M,45,P,1
F,37,P,0
F,81,P,0
F,72,P,0
F,57,P,0
F,51,P,1
F,24,P,0
F,74,P,0
F,70,P,0
M,72,P,0
M,56,P,0
F,72,P,0
F,37,P,0
F,64,P,0
F,60,P,0
M,52,P,0
M,39,P,0
F,14,P,0
M,12,P,1
F,67,P,0
F,59,P,0
M,55,P,0
M,43,C,1
F,47,P,0
F,46,P,0
M,58,P,0
M,62,P,0
M,61,P,0
M,72,P,0
F,35,P,0
M,21,C,0
F,43,P,0
F,53,P,0
F,69,P,0
F,48,P,0
M,37,P,0
F,34,P,1
F,44,P,0
F,72,P,0
F,76,P,0
M,22,P,1
F,44,P,0
F,57,P,0
M,29,P,0
M,49,C,0
M,43,P,1
M,24,P,1
M,35,P,1
M,49,P,0
M,43,P,1
F,26,P,0
M,55,P,0
M,76,P,0
F,40,P,0
F,14,P,0
M,42,P,0
F,50,P,0
F,59,P,0
F,24,P,0
M,74,P,0
F,49,P,0
M,20,P,0
F,57,P,0
M,74,P,0
F,68,P,0
M,19,P,0
F,33,P,0
F,52,P,0
M,75,P,0
M,22,P,0
F,69,P,0
F,45,P,0
F,24,P,0
F,26,C,0
F,47,P,0
F,70,P,0
F,71,P,0
M,75,P,0
F,26,P,0
F,78,P,0
F,80,P,0
M,43,P,1
F,62,P,0
M,40,P,0
M,49,P,0
F,55,P,0
F,42,C,0
F,48,P,0
M,71,P,0
F,35,P,0
F,43,P,0
M,36,P,0
F,47,C,0
M,70,P,0
F,18,P,0
F,39,P,0
F,20,P,1
M,22,C,0
M,22,P,0
F,39,C,0
M,27,P,0
M,51,P,1
F,33,P,0
F,24,P,0
M,37,P,0
M,74,P,0
M,52,P,0
F,49,P,0
M,30,C,0
M,40,P,0
F,67,P,0
M,71,P,0
M,19,P,1
M,26,P,1
F,65,P,0
M,56,P,0
M,55,P,0
F,56,P,0
M,71,P,0
F,63,P,0
M,62,P,0
M,58,P,0
M,51,P,0
F,32,P,0
M,63,P,0
F,65,P,0
F,45,P,0
F,37,P,0
F,48,P,0
F,69,P,0
M,29,P,1
M,76,P,0
F,62,P,0
F,65,P,0
